ID;Date;Video Name check in;Video link;Video check:in check;Video Name check out;Video link.1;Video check:out check;Check:in;Check:out;Duration;Flight event;Way out;No. Videos;iNat Sharing;Class;Order;Suborder;Infraorder;Superfamily;Family;Subfamily;Genus;Species;Classification class;Classification class refined;Parent folder 1;Parent folder 2;Parent folder 3;Parent folder 4;Parent folder 5;Parent folder 6;Key
11;2021-07-12;2021-07-12_17-03-54;video;ok;2021-07-12_17-03-54;video;ok;2021-07-12 17:03:54;2021-07-12 17:04:01;0 days 00:00:07;yes;exit;1 video;no;Insecta;Diptera;Brachycera;Muscomorpha;Ephydroidea;Drosophilidae;Drosophilinae;Scaptomyza;#N/C;fruit_fly;fruit_fly;nan;Ephydroidea;Muscomorpha;Brachycera;Diptera;Insecta;Insecta.Diptera.Brachycera.Muscomorpha.Ephydroidea.Drosophilidae.Drosophilinae.Scaptomyza.#N/C
12;2021-07-12;2021-07-12_17-14-40;video;ok;2021-07-12_17-14-40;video;ok;2021-07-12 17:14:40;2021-07-12 17:14:50;0 days 00:00:10;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
13;2021-07-12;2021-07-12_17-18-47;video;ok;2021-07-12_17-18-47;video;ok;2021-07-12 17:18:47;2021-07-12 17:18:52;0 days 00:00:05;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
14;2021-07-12;2021-07-12_17-30-04;video;ok;2021-07-12_17-30-04;video;ok;2021-07-12 17:30:04;2021-07-12 17:30:07;0 days 00:00:03;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
15;2021-07-12;2021-07-12_17-30-55;video;ok;2021-07-12_17-30-55;video;ok;2021-07-12 17:30:55;2021-07-12 17:31:00;0 days 00:00:05;yes;exit;1 video;yes;Insecta;Hymenoptera;Apocrita;Parasitica;Ichneumonoidea;Ichneumonidae;#N/C;#N/C;#N/C;Ichneumonidae;parasitoid_wasp;nan;nan;Parasitica;Apocrita;Hymenoptera;Insecta;Insecta.Hymenoptera.Apocrita.Parasitica.Ichneumonoidea.Ichneumonidae.#N/C.#N/C.#N/C
16;2021-07-12;2021-07-12_17-44-38;video;ok;2021-07-12_17-44-38;video;ok;2021-07-12 17:44:38;2021-07-12 17:44:42;0 days 00:00:04;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
17;2021-07-12;2021-07-12_17-45-18;video;ok;2021-07-12_17-46-35;video;ok;2021-07-12 17:45:18;2021-07-12 17:46:38;0 days 00:01:20;yes;exit;2 videos;yes;Insecta;Coleoptera;Polyphaga;Cucujiformia;Coccinelloidea;Coccinellidae;Coccinellinae;Harmonia;axyridis;ladybug;ladybug;nan;Coccinelloidea;Cucujiformia;Polyphaga;Coleoptera;Insecta;Insecta.Coleoptera.Polyphaga.Cucujiformia.Coccinelloidea.Coccinellidae.Coccinellinae.Harmonia.axyridis
18;2021-07-12;2021-07-12_18-11-44;video;ok;2021-07-12_18-11-44;video;ok;2021-07-12 18:11:44;2021-07-12 18:11:48;0 days 00:00:04;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
19;2021-07-12;2021-07-12_18-15-13;video;ok;2021-07-12_18-15-13;video;ok;2021-07-12 18:15:13;2021-07-12 18:15:16;0 days 00:00:03;?;?;1 video;yes;Insecta;Hymenoptera;Apocrita;Parasitica;Ichneumonoidea;Ichneumonidae;Diplazontinae;Diplazon;laetatorius;Ichneumonidae;parasitoid_wasp;nan;nan;Parasitica;Apocrita;Hymenoptera;Insecta;Insecta.Hymenoptera.Apocrita.Parasitica.Ichneumonoidea.Ichneumonidae.Diplazontinae.Diplazon.laetatorius
20;2021-07-12;2021-07-12_18-28-59;video;ok;2021-07-12_18-28-59;video;ok;2021-07-12 18:28:59;2021-07-12 18:29:07;0 days 00:00:08;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
21;2021-07-12;2021-07-12_18-31-08;video;ok;2021-07-12_18-31-08;video;ok;2021-07-12 18:31:08;2021-07-12 18:31:15;0 days 00:00:07;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
22;2021-07-12;2021-07-12_18-42-51;video;ok;2021-07-12_18-42-51;video;ok;2021-07-12 18:42:51;2021-07-12 18:43:07;0 days 00:00:16;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
23;2021-07-12;2021-07-12_18-52-16;video;ok;2021-07-12_18-52-16;video;ok;2021-07-12 18:52:16;2021-07-12 18:52:24;0 days 00:00:08;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
24;2021-07-12;2021-07-12_18-53-51;video;ok;2021-07-12_18-53-51;video;ok;2021-07-12 18:53:51;2021-07-12 18:54:00;0 days 00:00:09;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
25;2021-07-12;2021-07-12_19-08-15;video;ok;2021-07-12_19-08-15;video;ok;2021-07-12 19:08:15;2021-07-12 19:08:23;0 days 00:00:08;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
26;2021-07-12;2021-07-12_19-09-59;video;ok;2021-07-12_19-09-59;video;ok;2021-07-12 19:09:59;2021-07-12 19:10:21;0 days 00:00:22;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
27;2021-07-12;2021-07-12_19-11-29;video;ok;2021-07-12_19-11-29;video;ok;2021-07-12 19:11:29;2021-07-12 19:11:39;0 days 00:00:10;yes;exit;1 video;yes;Insecta;Hymenoptera;Apocrita;Parasitica;Ichneumonoidea;#N/C;#N/C;#N/C;#N/C;Ichneumonoidea;parasitoid_wasp;nan;nan;Parasitica;Apocrita;Hymenoptera;Insecta;Insecta.Hymenoptera.Apocrita.Parasitica.Ichneumonoidea.#N/C.#N/C.#N/C.#N/C
28;2021-07-12;2021-07-12_19-18-47;video;ok;2021-07-12_19-18-47;video;ok;2021-07-12 19:18:47;2021-07-12 19:18:52;0 days 00:00:05;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
29;2021-07-12;2021-07-12_19-18-47;video;ok;2021-07-12_19-18-47;video;ok;2021-07-12 19:19:18;2021-07-12 19:19:39;0 days 00:00:21;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
30;2021-07-12;2021-07-12_19-23-35;video;ok;2021-07-12_19-23-35;video;ok;2021-07-12 19:23:35;2021-07-12 19:23:47;0 days 00:00:12;?;?;1 video;no;Insecta;Diptera;Brachycera;Muscomorpha;Syrphoidea;Syrphidae;Syrphinae;#N/C;#N/C;hoverfly;hoverfly;Syrphidae;Syrphoidea;Muscomorpha;Brachycera;Diptera;Insecta;Insecta.Diptera.Brachycera.Muscomorpha.Syrphoidea.Syrphidae.Syrphinae.#N/C.#N/C
31;2021-07-12;2021-07-12_19-32-58;video;ok;2021-07-12_19-32-58;video;ok;2021-07-12 19:32:58;2021-07-12 19:33:08;0 days 00:00:10;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
32;2021-07-12;2021-07-12_19-36-47;video;ok;2021-07-12_19-36-47;video;ok;2021-07-12 19:36:47;2021-07-12 19:36:51;0 days 00:00:04;?;?;1 video;no;Insecta;Diptera;Brachycera;Muscomorpha;Syrphoidea;Syrphidae;Syrphinae;#N/C;#N/C;hoverfly;hoverfly;Syrphidae;Syrphoidea;Muscomorpha;Brachycera;Diptera;Insecta;Insecta.Diptera.Brachycera.Muscomorpha.Syrphoidea.Syrphidae.Syrphinae.#N/C.#N/C
33;2021-07-12;2021-07-12_19-39-31;video;ok;2021-07-12_19-39-31;video;ok;2021-07-12 19:39:31;2021-07-12 19:39:46;0 days 00:00:15;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
34;2021-07-12;2021-07-12_20-11-29;video;ok;2021-07-12_20-11-29;video;ok;2021-07-12 20:11:29;2021-07-12 20:11:33;0 days 00:00:04;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
35;2021-07-12;2021-07-12_20-29-06;video;ok;2021-07-12_20-29-06;video;ok;2021-07-12 20:29:06;2021-07-12 20:29:11;0 days 00:00:05;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
36;2021-07-12;2021-07-12_20-47-56;video;ok;2021-07-12_20-47-56;video;ok;2021-07-12 20:47:56;2021-07-12 20:48:16;0 days 00:00:20;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
37;2021-07-12;2021-07-12_20-53-54;video;ok;2021-07-12_20-53-54;video;ok;2021-07-12 20:53:54;2021-07-12 20:53:59;0 days 00:00:05;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
38;2021-07-13;2021-07-13_07-09-07;video;ok;2021-07-13_07-09-07;video;ok;2021-07-13 07:09:07;2021-07-13 07:09:14;0 days 00:00:07;?;?;1 video;yes;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
39;2021-07-13;2021-07-13_07-29-58;video;ok;2021-07-13_07-29-58;video;ok;2021-07-13 07:29:58;2021-07-13 07:33:53;0 days 00:03:55;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
40;2021-07-13;2021-07-13_07-54-47;video;ok;2021-07-13_07-54-47;video;ok;2021-07-13 07:54:47;2021-07-13 07:55:16;0 days 00:00:29;yes;exit;1 video;yes;Insecta;Hymenoptera;Apocrita;Parasitica;Ichneumonoidea;#N/C;#N/C;#N/C;#N/C;Ichneumonoidea;parasitoid_wasp;nan;nan;Parasitica;Apocrita;Hymenoptera;Insecta;Insecta.Hymenoptera.Apocrita.Parasitica.Ichneumonoidea.#N/C.#N/C.#N/C.#N/C
41;2021-07-13;2021-07-13_09-44-49;video;ok;2021-07-13_09-44-49;video;ok;2021-07-13 09:44:49;2021-07-13 09:44:54;0 days 00:00:05;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
42;2021-07-13;2021-07-13_09-52-48;video;ok;2021-07-13_09-52-48;video;ok;2021-07-13 09:52:48;2021-07-13 09:52:56;0 days 00:00:08;no;exit;1 video;yes;Insecta;Mecoptera;0;0;Panorpoidea;Panorpidae;0;Panorpa;#N/C;scorpion_fly;scorpion_fly;nan;nan;nan;nan;Mecoptera;Insecta;Insecta.Mecoptera.0.0.Panorpoidea.Panorpidae.0.Panorpa.#N/C
43;2021-07-13;2021-07-13_09-59-46;video;ok;2021-07-13_09-59-46;video;ok;2021-07-13 09:59:46;2021-07-13 09:59:55;0 days 00:00:09;?;?;1 video;no;Insecta;Diptera;Brachycera;Muscomorpha;Syrphoidea;Syrphidae;Syrphinae;#N/C;#N/C;hoverfly;hoverfly;Syrphidae;Syrphoidea;Muscomorpha;Brachycera;Diptera;Insecta;Insecta.Diptera.Brachycera.Muscomorpha.Syrphoidea.Syrphidae.Syrphinae.#N/C.#N/C
44;2021-07-13;2021-07-13_10-25-07;video;ok;2021-07-13_10-25-07;video;ok;2021-07-13 10:25:07;2021-07-13 10:25:18;0 days 00:00:11;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
45;2021-07-13;2021-07-13_11-03-36;video;ok;2021-07-13_11-50-47;video;ok;2021-07-13 11:03:36;2021-07-13 12:05:19;0 days 01:01:43;no;entrance;4 videos;no;Insecta;Hymenoptera;Apocrita;Aculeata;Formicoidea;Formicidae;Formicinae;#N/C;#N/C;ant;ant;Formicidae;Formicoidea;Aculeata;Apocrita;Hymenoptera;Insecta;Insecta.Hymenoptera.Apocrita.Aculeata.Formicoidea.Formicidae.Formicinae.#N/C.#N/C
46;2021-07-13;2021-07-13_11-03-36;video;ok;2021-07-13_11-11-57;video;ok;2021-07-13 11:11:19;2021-07-13 11:12:00;0 days 00:00:41;no;exit;2 videos;no;Insecta;Orthoptera;Caelifera;Acrididea;Acridoidea;Acrididae;#N/C;#N/C;#N/C;grasshopper;grasshopper;nan;nan;nan;nan;Orthoptera;Insecta;Insecta.Orthoptera.Caelifera.Acrididea.Acridoidea.Acrididae.#N/C.#N/C.#N/C
47;2021-07-13;2021-07-13_11-11-57;video;ok;2021-07-13_11-50-47;video;ok;2021-07-13 11:46:35;2021-07-13 11:55:00;0 days 00:08:25;no;exit;3 videos;yes;Insecta;Coleoptera;Polyphaga;Cucujiformia;Coccinelloidea;Coccinellidae;Coccinellinae;Psyllobora;vigintiduopunctata;ladybug;ladybug;nan;Coccinelloidea;Cucujiformia;Polyphaga;Coleoptera;Insecta;Insecta.Coleoptera.Polyphaga.Cucujiformia.Coccinelloidea.Coccinellidae.Coccinellinae.Psyllobora.vigintiduopunctata
48;2021-07-13;2021-07-13_12-22-04;video;ok;2021-07-13_12-22-04;video;ok;2021-07-13 12:22:04;2021-07-13 12:22:11;0 days 00:00:07;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
49;2021-07-13;2021-07-13_12-26-42;video;ok;2021-07-13_12-26-42;video;ok;2021-07-13 12:26:42;2021-07-13 12:26:46;0 days 00:00:04;yes;exit;1 video;yes;Insecta;Hymenoptera;Apocrita;Aculeata;Apoidea;Apidae;Apinae;Bombus;#N/C;bee;bee;Apidae;Apoidea;Aculeata;Apocrita;Hymenoptera;Insecta;Insecta.Hymenoptera.Apocrita.Aculeata.Apoidea.Apidae.Apinae.Bombus.#N/C
50;2021-07-13;2021-07-13_12-39-07;video;ok;2021-07-13_12-39-07;video;ok;2021-07-13 12:39:11;2021-07-13 12:39:16;0 days 00:00:05;no;exit;1 video;yes;Insecta;Hymenoptera;Apocrita;Parasitica;Ichneumonoidea;Ichneumonidae;Pimplinae;Pimpla;rufipes;Ichneumonidae;parasitoid_wasp;nan;nan;Parasitica;Apocrita;Hymenoptera;Insecta;Insecta.Hymenoptera.Apocrita.Parasitica.Ichneumonoidea.Ichneumonidae.Pimplinae.Pimpla.rufipes
51;2021-07-13;2021-07-13_13-07-11;video;ok;2021-07-13_13-07-11;video;ok;2021-07-13 13:07:11;2021-07-13 13:07:15;0 days 00:00:04;?;?;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
52;2021-07-13;2021-07-13_13-20-39;video;ok;2021-07-13_13-20-39;video;ok;2021-07-13 13:20:39;2021-07-13 13:20:49;0 days 00:00:10;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
53;2021-07-13;2021-07-13_13-27-31;video;ok;2021-07-13_14-25-46;video;ok;2021-07-13 13:27:31;2021-07-13 14:26:08;0 days 00:58:37;?;?;5 videos;yes;Insecta;Coleoptera;Polyphaga;Cucujiformia;Tenebrionoidea;Oedemeridae;Nacerdinae;Chrysanthia;viridissima;pollen_feeding_beetle;pollen_feeding_beetle;Oedemeridae;Tenebrionoidea;Cucujiformia;Polyphaga;Coleoptera;Insecta;Insecta.Coleoptera.Polyphaga.Cucujiformia.Tenebrionoidea.Oedemeridae.Nacerdinae.Chrysanthia.viridissima
54;2021-07-13;2021-07-13_14-17-56;video;ok;2021-07-13_14-17-56;video;ok;2021-07-13 14:18:45;2021-07-13 14:18:46;0 days 00:00:01;yes;exit;1 video;no;Insecta;Diptera;Brachycera;Asilomorpha;Asiloidea;Asilidae;Asilinae;Tolmerus;#N/C;robber_fly;robber_fly;nan;Asiloidea;Asilomorpha;Brachycera;Diptera;Insecta;Insecta.Diptera.Brachycera.Asilomorpha.Asiloidea.Asilidae.Asilinae.Tolmerus.#N/C
55;2021-07-13;2021-07-13_14-24-21;video;ok;2021-07-13_14-25-46;video;ok;2021-07-13 14:24:21;2021-07-13 14:26:07;0 days 00:01:46;yes;exit;2 videos;no;Insecta;Diptera;Brachycera;Asilomorpha;Asiloidea;Asilidae;Asilinae;#N/C;#N/C;robber_fly;robber_fly;nan;Asiloidea;Asilomorpha;Brachycera;Diptera;Insecta;Insecta.Diptera.Brachycera.Asilomorpha.Asiloidea.Asilidae.Asilinae.#N/C.#N/C
56;2021-07-13;2021-07-13_14-30-25;video;ok;2021-07-13_14-30-25;video;ok;2021-07-13 14:30:25;2021-07-13 14:30:39;0 days 00:00:14;?;exit;1 video;no;Insecta;Diptera;Brachycera;Asilomorpha;Asiloidea;Asilidae;Asilinae;#N/C;#N/C;robber_fly;robber_fly;nan;Asiloidea;Asilomorpha;Brachycera;Diptera;Insecta;Insecta.Diptera.Brachycera.Asilomorpha.Asiloidea.Asilidae.Asilinae.#N/C.#N/C
57;2021-07-13;2021-07-13_14-38-42;video;ok;2021-07-13_14-46-17;video;ok;2021-07-13 14:38:42;2021-07-13 14:46:25;0 days 00:07:43;yes;exit;5 videos;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
