ID;Date;Video Name check in;Video Name check out;Check:in;Check:out;Duration;Flight event;Way out;No. Videos;iNat Sharing;Class;Order;Suborder;Infraorder;Superfamily;Family;Subfamily;Genus;Species;Leaf_reclass;Family_reclass;Superfamily_reclass;Infraorder_reclass;Suborder_reclass;Order_reclass;Class_reclass
12;2021-07-12;2021-07-12_17-14-40;2021-07-12_17-14-40;2021-07-12 17:14:40;2021-07-12 17:14:50;0 days 00:00:10;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
13;2021-07-12;2021-07-12_17-18-47;2021-07-12_17-18-47;2021-07-12 17:18:47;2021-07-12 17:18:52;0 days 00:00:05;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
14;2021-07-12;2021-07-12_17-30-04;2021-07-12_17-30-04;2021-07-12 17:30:04;2021-07-12 17:30:07;0 days 00:00:03;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
15;2021-07-12;2021-07-12_17-30-55;2021-07-12_17-30-55;2021-07-12 17:30:55;2021-07-12 17:31:00;0 days 00:00:05;yes;exit;1 video;yes;Insecta;Hymenoptera;Apocrita;Parasitica;Ichneumonoidea;Ichneumonidae;#N/C;#N/C;#N/C;parasitoid_wasp;;;Parasitica;Apocrita;Hymenoptera;Insecta
16;2021-07-12;2021-07-12_17-44-38;2021-07-12_17-44-38;2021-07-12 17:44:38;2021-07-12 17:44:42;0 days 00:00:04;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
17;2021-07-12;2021-07-12_17-45-18;2021-07-12_17-46-35;2021-07-12 17:45:18;2021-07-12 17:46:38;0 days 00:01:20;yes;exit;2 videos;yes;Insecta;Coleoptera;Polyphaga;Cucujiformia;Coccinelloidea;Coccinellidae;Coccinellinae;Harmonia;axyridis;ladybug;;Coccinelloidea;;;Coleoptera;Insecta
18;2021-07-12;2021-07-12_18-11-44;2021-07-12_18-11-44;2021-07-12 18:11:44;2021-07-12 18:11:48;0 days 00:00:04;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
19;2021-07-12;2021-07-12_18-15-13;2021-07-12_18-15-13;2021-07-12 18:15:13;2021-07-12 18:15:16;0 days 00:00:03;?;?;1 video;yes;Insecta;Hymenoptera;Apocrita;Parasitica;Ichneumonoidea;Ichneumonidae;Diplazontinae;Diplazon;laetatorius;parasitoid_wasp;;;Parasitica;Apocrita;Hymenoptera;Insecta
20;2021-07-12;2021-07-12_18-28-59;2021-07-12_18-28-59;2021-07-12 18:28:59;2021-07-12 18:29:07;0 days 00:00:08;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
21;2021-07-12;2021-07-12_18-31-08;2021-07-12_18-31-08;2021-07-12 18:31:08;2021-07-12 18:31:15;0 days 00:00:07;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
22;2021-07-12;2021-07-12_18-42-51;2021-07-12_18-42-51;2021-07-12 18:42:51;2021-07-12 18:43:07;0 days 00:00:16;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
23;2021-07-12;2021-07-12_18-52-16;2021-07-12_18-52-16;2021-07-12 18:52:16;2021-07-12 18:52:24;0 days 00:00:08;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
24;2021-07-12;2021-07-12_18-53-51;2021-07-12_18-53-51;2021-07-12 18:53:51;2021-07-12 18:54:00;0 days 00:00:09;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
25;2021-07-12;2021-07-12_19-08-15;2021-07-12_19-08-15;2021-07-12 19:08:15;2021-07-12 19:08:23;0 days 00:00:08;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
26;2021-07-12;2021-07-12_19-09-59;2021-07-12_19-09-59;2021-07-12 19:09:59;2021-07-12 19:10:21;0 days 00:00:22;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
27;2021-07-12;2021-07-12_19-11-29;2021-07-12_19-11-29;2021-07-12 19:11:29;2021-07-12 19:11:39;0 days 00:00:10;yes;exit;1 video;yes;Insecta;Hymenoptera;Apocrita;Parasitica;Ichneumonoidea;#N/C;#N/C;#N/C;#N/C;parasitoid_wasp;;;Parasitica;Apocrita;Hymenoptera;Insecta
28;2021-07-12;2021-07-12_19-18-47;2021-07-12_19-18-47;2021-07-12 19:18:47;2021-07-12 19:18:52;0 days 00:00:05;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
29;2021-07-12;2021-07-12_19-18-47;2021-07-12_19-18-47;2021-07-12 19:19:18;2021-07-12 19:19:39;0 days 00:00:21;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
30;2021-07-12;2021-07-12_19-23-35;2021-07-12_19-23-35;2021-07-12 19:23:35;2021-07-12 19:23:47;0 days 00:00:12;?;?;1 video;no;Insecta;Diptera;Brachycera;Muscomorpha;Syrphoidea;Syrphidae;Syrphinae;#N/C;#N/C;syrphoid_fly;;Syrphoidea;Muscomorpha;Brachycera;Diptera;Insecta
31;2021-07-12;2021-07-12_19-32-58;2021-07-12_19-32-58;2021-07-12 19:32:58;2021-07-12 19:33:08;0 days 00:00:10;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
32;2021-07-12;2021-07-12_19-36-47;2021-07-12_19-36-47;2021-07-12 19:36:47;2021-07-12 19:36:51;0 days 00:00:04;?;?;1 video;no;Insecta;Diptera;Brachycera;Muscomorpha;Syrphoidea;Syrphidae;Syrphinae;#N/C;#N/C;syrphoid_fly;;Syrphoidea;Muscomorpha;Brachycera;Diptera;Insecta
33;2021-07-12;2021-07-12_19-39-31;2021-07-12_19-39-31;2021-07-12 19:39:31;2021-07-12 19:39:46;0 days 00:00:15;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
34;2021-07-12;2021-07-12_20-11-29;2021-07-12_20-11-29;2021-07-12 20:11:29;2021-07-12 20:11:33;0 days 00:00:04;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
35;2021-07-12;2021-07-12_20-29-06;2021-07-12_20-29-06;2021-07-12 20:29:06;2021-07-12 20:29:11;0 days 00:00:05;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
36;2021-07-12;2021-07-12_20-47-56;2021-07-12_20-47-56;2021-07-12 20:47:56;2021-07-12 20:48:16;0 days 00:00:20;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
37;2021-07-12;2021-07-12_20-53-54;2021-07-12_20-53-54;2021-07-12 20:53:54;2021-07-12 20:53:59;0 days 00:00:05;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
38;2021-07-13;2021-07-13_07-09-07;2021-07-13_07-09-07;2021-07-13 07:09:07;2021-07-13 07:09:14;0 days 00:00:07;?;?;1 video;yes;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
39;2021-07-13;2021-07-13_07-29-58;2021-07-13_07-29-58;2021-07-13 07:29:58;2021-07-13 07:33:53;0 days 00:03:55;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
40;2021-07-13;2021-07-13_07-54-47;2021-07-13_07-54-47;2021-07-13 07:54:47;2021-07-13 07:55:16;0 days 00:00:29;yes;exit;1 video;yes;Insecta;Hymenoptera;Apocrita;Parasitica;Ichneumonoidea;#N/C;#N/C;#N/C;#N/C;parasitoid_wasp;;;Parasitica;Apocrita;Hymenoptera;Insecta
41;2021-07-13;2021-07-13_09-44-49;2021-07-13_09-44-49;2021-07-13 09:44:49;2021-07-13 09:44:54;0 days 00:00:05;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
42;2021-07-13;2021-07-13_09-52-48;2021-07-13_09-52-48;2021-07-13 09:52:48;2021-07-13 09:52:56;0 days 00:00:08;no;exit;1 video;yes;Insecta;Mecoptera;0;0;Panorpoidea;Panorpidae;0;Panorpa;#N/C;scorpion_fly;;;;;Mecoptera;Insecta
43;2021-07-13;2021-07-13_09-59-46;2021-07-13_09-59-46;2021-07-13 09:59:46;2021-07-13 09:59:55;0 days 00:00:09;?;?;1 video;no;Insecta;Diptera;Brachycera;Muscomorpha;Syrphoidea;Syrphidae;Syrphinae;#N/C;#N/C;syrphoid_fly;;Syrphoidea;Muscomorpha;Brachycera;Diptera;Insecta
44;2021-07-13;2021-07-13_10-25-07;2021-07-13_10-25-07;2021-07-13 10:25:07;2021-07-13 10:25:18;0 days 00:00:11;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
45;2021-07-13;2021-07-13_11-03-36;2021-07-13_11-50-47;2021-07-13 11:03:36;2021-07-13 12:05:19;0 days 01:01:43;no;entrance;4 videos;no;Insecta;Hymenoptera;Apocrita;Aculeata;Formicoidea;Formicidae;Formicinae;#N/C;#N/C;ant;Formicidae;;Aculeata;Apocrita;Hymenoptera;Insecta
46;2021-07-13;2021-07-13_11-03-36;2021-07-13_11-11-57;2021-07-13 11:11:19;2021-07-13 11:12:00;0 days 00:00:41;no;exit;2 videos;no;Insecta;Orthoptera;Caelifera;Acrididea;Acridoidea;Acrididae;#N/C;#N/C;#N/C;grasshopper;;;;;Orthoptera;Insecta
47;2021-07-13;2021-07-13_11-11-57;2021-07-13_11-50-47;2021-07-13 11:46:35;2021-07-13 11:55:00;0 days 00:08:25;no;exit;3 videos;yes;Insecta;Coleoptera;Polyphaga;Cucujiformia;Coccinelloidea;Coccinellidae;Coccinellinae;Psyllobora;vigintiduopunctata;ladybug;;Coccinelloidea;;;Coleoptera;Insecta
48;2021-07-13;2021-07-13_12-22-04;2021-07-13_12-22-04;2021-07-13 12:22:04;2021-07-13 12:22:11;0 days 00:00:07;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
49;2021-07-13;2021-07-13_12-26-42;2021-07-13_12-26-42;2021-07-13 12:26:42;2021-07-13 12:26:46;0 days 00:00:04;yes;exit;1 video;yes;Insecta;Hymenoptera;Apocrita;Aculeata;Apoidea;Apidae;Apinae;Bombus;#N/C;bee;Apidae;;Aculeata;Apocrita;Hymenoptera;Insecta
50;2021-07-13;2021-07-13_12-39-07;2021-07-13_12-39-07;2021-07-13 12:39:11;2021-07-13 12:39:16;0 days 00:00:05;no;exit;1 video;yes;Insecta;Hymenoptera;Apocrita;Parasitica;Ichneumonoidea;Ichneumonidae;Pimplinae;Pimpla;rufipes;parasitoid_wasp;;;Parasitica;Apocrita;Hymenoptera;Insecta
51;2021-07-13;2021-07-13_13-07-11;2021-07-13_13-07-11;2021-07-13 13:07:11;2021-07-13 13:07:15;0 days 00:00:04;?;?;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
52;2021-07-13;2021-07-13_13-20-39;2021-07-13_13-20-39;2021-07-13 13:20:39;2021-07-13 13:20:49;0 days 00:00:10;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
53;2021-07-13;2021-07-13_13-27-31;2021-07-13_14-25-46;2021-07-13 13:27:31;2021-07-13 14:26:08;0 days 00:58:37;?;?;5 videos;yes;Insecta;Coleoptera;Polyphaga;Cucujiformia;Tenebrionoidea;Oedemeridae;Nacerdinae;Chrysanthia;viridissima;tenebrionoid_beetle;;Tenebrionoidea;;;Coleoptera;Insecta
54;2021-07-13;2021-07-13_14-17-56;2021-07-13_14-17-56;2021-07-13 14:18:45;2021-07-13 14:18:46;0 days 00:00:01;yes;exit;1 video;no;Insecta;Diptera;Brachycera;Asilomorpha;Asiloidea;Asilidae;Asilinae;Tolmerus;#N/C;robber_fly;;Asiloidea;Asilomorpha;Brachycera;Diptera;Insecta
55;2021-07-13;2021-07-13_14-24-21;2021-07-13_14-25-46;2021-07-13 14:24:21;2021-07-13 14:26:07;0 days 00:01:46;yes;exit;2 videos;no;Insecta;Diptera;Brachycera;Asilomorpha;Asiloidea;Asilidae;Asilinae;#N/C;#N/C;robber_fly;;Asiloidea;Asilomorpha;Brachycera;Diptera;Insecta
56;2021-07-13;2021-07-13_14-30-25;2021-07-13_14-30-25;2021-07-13 14:30:25;2021-07-13 14:30:39;0 days 00:00:14;?;exit;1 video;no;Insecta;Diptera;Brachycera;Asilomorpha;Asiloidea;Asilidae;Asilinae;#N/C;#N/C;robber_fly;;Asiloidea;Asilomorpha;Brachycera;Diptera;Insecta
57;2021-07-13;2021-07-13_14-38-42;2021-07-13_14-46-17;2021-07-13 14:38:42;2021-07-13 14:46:25;0 days 00:07:43;yes;exit;5 videos;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
58;2021-07-13;2021-07-13_14-46-56;2021-07-13_14-46-56;2021-07-13 14:46:56;2021-07-13 14:47:03;0 days 00:00:07;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
59;2021-07-13;2021-07-13_14-54-17;2021-07-13_14-54-17;2021-07-13 14:54:17;2021-07-13 14:54:23;0 days 00:00:06;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
60;2021-07-13;2021-07-13_15-24-48;2021-07-13_15-24-48;2021-07-13 15:24:48;2021-07-13 15:24:50;0 days 00:00:02;yes;exit;1 video;yes;Insecta;Hymenoptera;Apocrita;Aculeata;Apoidea;Apidae;Apinae;Bombus;#N/C;bee;Apidae;;Aculeata;Apocrita;Hymenoptera;Insecta
61;2021-07-13;2021-07-13_15-39-52;2021-07-13_15-39-52;2021-07-13 15:39:52;2021-07-13 15:39:56;0 days 00:00:04;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
62;2021-07-13;2021-07-13_15-54-28;2021-07-13_15-54-28;2021-07-13 15:54:28;2021-07-13 15:54:39;0 days 00:00:11;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
63;2021-07-13;2021-07-13_15-54-28;2021-07-13_15-54-28;2021-07-13 15:54:53;2021-07-13 16:00:40;0 days 00:05:47;yes;exit;1 video;yes;Insecta;Diptera;Brachycera;Muscomorpha;Sciomyzoidea;Sepsidae;Sepsinae;Sepsis;#N/C;sciomyzoid_fly;;Sciomyzoidea;Muscomorpha;Brachycera;Diptera;Insecta
64;2021-07-13;2021-07-13_16-04-18;2021-07-13_16-04-18;2021-07-13 16:04:18;2021-07-13 16:04:30;0 days 00:00:12;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
65;2021-07-13;2021-07-13_16-34-24;2021-07-13_16-34-24;2021-07-13 16:34:24;2021-07-13 16:34:29;0 days 00:00:05;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
66;2021-07-13;2021-07-13_16-40-57;2021-07-13_16-40-57;2021-07-13 16:40:57;2021-07-13 16:41:02;0 days 00:00:05;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
67;2021-07-13;2021-07-13_16-45-53;2021-07-13_16-45-53;2021-07-13 16:45:53;2021-07-13 16:45:59;0 days 00:00:06;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
68;2021-07-13;2021-07-13_16-51-15;2021-07-13_16-51-15;2021-07-13 16:51:15;2021-07-13 16:51:44;0 days 00:00:29;?;?;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
69;2021-07-13;2021-07-13_16-51-15;2021-07-13_16-51-15;2021-07-13 16:51:15;2021-07-13 16:51:44;0 days 00:00:29;?;?;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
70;2021-07-13;2021-07-13_16-53-32;2021-07-13_16-53-32;2021-07-13 16:53:32;2021-07-13 16:53:35;0 days 00:00:03;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
71;2021-07-13;2021-07-13_16-55-03;2021-07-13_16-55-03;2021-07-13 16:55:03;2021-07-13 16:55:07;0 days 00:00:04;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
72;2021-07-13;2021-07-13_16-57-08;2021-07-13_16-57-08;2021-07-13 16:57:27;2021-07-13 16:57:42;0 days 00:00:15;?;?;1 video;no;Insecta;Orthoptera;Caelifera;Acrididea;Acridoidea;Acrididae;Gomphocerinae;Chorthippus;#N/C;grasshopper;;;;;Orthoptera;Insecta
73;2021-07-13;2021-07-13_16-57-08;2021-07-13_16-57-08;2021-07-13 16:57:55;2021-07-13 16:57:56;0 days 00:00:01;yes;exit;1 video;yes;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
74;2021-07-13;2021-07-13_17-10-39;2021-07-13_17-10-39;2021-07-13 17:10:42;2021-07-13 17:10:47;0 days 00:00:05;?;?;1 video;yes;Insecta;Hymenoptera;Apocrita;Aculeata;Formicoidea;Formicidae;Formicinae;Lasius;fuliginosus;ant;Formicidae;;Aculeata;Apocrita;Hymenoptera;Insecta
75;2021-07-13;2021-07-13_17-13-55;2021-07-13_17-13-55;2021-07-13 17:13:55;2021-07-13 17:13:59;0 days 00:00:04;?;?;1 video;no;Insecta;Diptera;Brachycera;Muscomorpha;Syrphoidea;Syrphidae;Syrphinae;Melanostoma;#N/C;syrphoid_fly;;Syrphoidea;Muscomorpha;Brachycera;Diptera;Insecta
76;2021-07-13;2021-07-13_17-32-05;2021-07-13_17-32-05;2021-07-13 17:32:05;2021-07-13 17:32:13;0 days 00:00:08;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
77;2021-07-13;2021-07-13_17-45-32;2021-07-13_17-45-32;2021-07-13 17:45:32;2021-07-13 17:45:36;0 days 00:00:04;yes;exit;1 video;no;Insecta;Diptera;Nematocera;Bibionomorpha;Sciaroidea;Keroplatidae;Macrocerinae;Macrocera;#N/C;fungus_gnat;;Sciaroidea;Bibionomorpha;Nematocera;Diptera;Insecta
78;2021-07-13;2021-07-13_17-56-52;2021-07-13_17-56-52;2021-07-13 17:56:52;2021-07-13 17:57:00;0 days 00:00:08;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
79;2021-07-13;2021-07-13_17-59-20;2021-07-13_17-59-20;2021-07-13 17:59:20;2021-07-13 17:59:26;0 days 00:00:06;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
80;2021-07-13;2021-07-13_18-03-08;2021-07-13_18-03-08;2021-07-13 18:03:08;2021-07-13 18:03:17;0 days 00:00:09;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
81;2021-07-13;2021-07-13_18-42-56;2021-07-13_18-42-56;2021-07-13 18:42:56;2021-07-13 18:43:03;0 days 00:00:07;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
82;2021-07-13;2021-07-13_18-46-29;2021-07-13_18-46-29;2021-07-13 18:46:29;2021-07-13 18:46:33;0 days 00:00:04;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
83;2021-07-13;2021-07-13_18-47-51;2021-07-13_18-47-51;2021-07-13 18:47:51;2021-07-13 18:47:57;0 days 00:00:06;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
84;2021-07-13;2021-07-13_19-04-35;2021-07-13_19-04-35;2021-07-13 19:04:35;2021-07-13 19:04:42;0 days 00:00:07;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
85;2021-07-13;2021-07-13_19-07-17;2021-07-13_19-07-17;2021-07-13 19:07:17;2021-07-13 19:07:21;0 days 00:00:04;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
86;2021-07-13;2021-07-13_19-18-51;2021-07-13_19-18-51;2021-07-13 19:18:51;2021-07-13 19:18:55;0 days 00:00:04;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
