ID;General-ID;Device;Date;Video Name check in;Video Name check out;Check:in;Check:out;Duration;Way in;Flight event;Way out;Image Database  ID;Image Database location;No. Videos;iNat Main suggestion;iNat Sharing;Class;Order;Suborder;Infraorder;Superfamily;Family;Subfamily;Genus;Species;Leaf_reclass;Family_reclass;Superfamily_reclass;Infraorder_reclass;Suborder_reclass;Order_reclass;Class_reclass
46;FAIR-D1_46;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_09-03-07;FAIR-D1_2023-08-26_09-03-07;2023-08-26 09:03:07;2023-08-26 09:03:14;00:00:07;entrance;yes;exit;46;FAIR-D1/46;1 video;no;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Diptera;Insecta
47;FAIR-D1_47;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_09-05-21;FAIR-D1_2023-08-26_09-05-21;2023-08-26 09:05:21;2023-08-26 09:05:37;00:00:16;?;yes;?;47;FAIR-D1/47;1 video;yes;yes;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;#N/C;#N/C;#N/C;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
48;FAIR-D1_48;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_09-18-07;FAIR-D1_2023-08-26_09-18-07;2023-08-26 09:18:07;2023-08-26 09:18:13;00:00:06;entrance;yes;exit;48;FAIR-D1/48;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
49;FAIR-D1_49;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_09-34-06;FAIR-D1_2023-08-26_09-34-06;2023-08-26 09:34:06;2023-08-26 09:34:11;00:00:05;entrance;yes;exit;49;FAIR-D1/49;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;#N/C;#N/C;#N/C;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
50;FAIR-D1_50;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_09-34-06;FAIR-D1_2023-08-26_09-34-06;2023-08-26 09:34:06;2023-08-26 09:34:17;00:00:11;entrance;yes;entrance;50;FAIR-D1/50;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;#N/C;#N/C;#N/C;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
51;FAIR-D1_51;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_09-58-43;FAIR-D1_2023-08-26_09-58-43;2023-08-26 09:58:43;2023-08-26 09:58:57;00:00:14;entrance;no;?;51;FAIR-D1/51;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;#N/C;#N/C;#N/C;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
52;FAIR-D1_52;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_10-00-22;FAIR-D1_2023-08-26_10-00-22;2023-08-26 10:00:22;2023-08-26 10:00:40;00:00:18;entrance;no;entrance;52;FAIR-D1/52;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
53;FAIR-D1_53;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_10-02-17;FAIR-D1_2023-08-26_10-02-17;2023-08-26 10:02:17;2023-08-26 10:02:21;00:00:04;entrance;yes;exit;53;FAIR-D1/53;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
54;FAIR-D1_54;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_10-03-49;FAIR-D1_2023-08-26_10-03-49;2023-08-26 10:03:49;2023-08-26 10:04:02;00:00:13;?;no;?;54;FAIR-D1/54;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;#N/C;#N/C;#N/C;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
55;FAIR-D1_55;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_10-03-49;FAIR-D1_2023-08-26_10-03-49;2023-08-26 10:03:49;2023-08-26 10:04:02;00:00:13;?;no;?;55;FAIR-D1/55;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
56;FAIR-D1_56;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_10-37-09;FAIR-D1_2023-08-26_10-37-09;2023-08-26 10:37:09;2023-08-26 10:37:15;00:00:06;entrance;yes;exit;56;FAIR-D1/56;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
57;FAIR-D1_57;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_10-43-09;FAIR-D1_2023-08-26_10-43-09;2023-08-26 10:43:09;2023-08-26 10:43:13;00:00:04;?;yes;exit;57;FAIR-D1/57;1 video;no;yes;Insecta;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;;;Insecta
58;FAIR-D1_58;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_10-43-09;FAIR-D1_2023-08-26_10-43-09;2023-08-26 10:43:09;2023-08-26 10:43:21;00:00:12;entrance;yes;exit;58;FAIR-D1/58;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
59;FAIR-D1_59;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_10-45-34;FAIR-D1_2023-08-26_10-45-34;2023-08-26 10:45:34;2023-08-26 10:45:45;00:00:11;entrance;no;?;59;FAIR-D1/59;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
60;FAIR-D1_60;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_10-46-27;FAIR-D1_2023-08-26_10-46-27;2023-08-26 10:46:27;2023-08-26 10:46:30;00:00:03;?;no;entrance;60;FAIR-D1/60;1 video;no;no;Insecta;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;;;Insecta
61;FAIR-D1_61;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_10-51-04;FAIR-D1_2023-08-26_10-51-04;2023-08-26 10:51:04;2023-08-26 10:51:42;00:00:38;?;no;?;61;FAIR-D1/61;1 video;no;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;#N/C;#N/C;#N/C;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
62;FAIR-D1_62;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_10-51-04;FAIR-D1_2023-08-26_10-51-04;2023-08-26 10:51:04;2023-08-26 10:51:25;00:00:21;entrance;yes;exit;62;FAIR-D1/62;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;#N/C;#N/C;#N/C;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
